Afternoon,Fish,Location
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Morning,0,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,1,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,1,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up
Afternoon,0,Up